simtime,current_action,reward,load,FM_state,packets_per_frame,QoE,frame_loss,last_mowdg,RTT,lastthreshold,quadraticsum_mowdg
16.2228,1,3.88085,2.11061e+07,5,21,4.07194,0,-1.4111e-05,0.00165702,2.4139e-05,1.13586e-06
16.3228,0,3.88283,2.0684e+07,5,20,4.07403,0,1.68889e-05,0.00142718,2.42001e-05,3.59719e-07
16.4228,0,3.88338,2.02703e+07,5,20,4.07461,0,7.58889e-05,0.00148348,2.42378e-05,1.43002e-07
16.5228,1,3.87957,2.02703e+07,5,20,4.0706,0,0.000734889,0.00195038,2.4346e-05,1.63649e-06
16.6228,1,3.88213,2.02703e+07,5,20,4.07329,0,-0.000151111,0.00181528,2.44457e-05,6.35196e-07
16.7228,1,3.88215,2.02703e+07,5,20,4.07332,0,-0.000361111,0.00151702,2.45265e-05,6.24796e-07
16.8228,1,3.8834,2.02703e+07,5,20,4.07463,0,-0.000196111,0.00132334,2.45557e-05,1.38496e-07
16.9228,1,3.87913,2.02703e+07,5,20,4.07014,0,8.78888e-05,0.00153632,2.4714e-05,1.80618e-06
17.0228,1,3.88328,2.02703e+07,5,20,4.0745,0,0.000256889,0.00162736,2.47485e-05,1.8439e-07
17.1228,1,3.87923,2.02703e+07,5,20,4.07024,0,-2.11107e-06,0.0017251,2.49151e-05,1.76829e-06
17.2228,1,3.88101,2.02703e+07,5,20,4.07211,0,-4.21112e-05,0.00169793,2.50355e-05,1.07268e-06
17.3228,1,3.88115,2.02703e+07,5,20,4.07226,0,4.48889e-05,0.00152681,2.51338e-05,1.01706e-06
17.4228,1,3.88054,2.02703e+07,5,20,4.07162,0,-8.71111e-05,0.00152946,2.5268e-05,1.25561e-06
17.5228,1,3.88255,2.02703e+07,5,20,4.07374,0,0.000196889,0.00160734,2.53395e-05,4.69097e-07
17.6228,1,3.88351,2.02703e+07,5,20,4.07475,0,-4.61111e-05,0.00159183,2.53726e-05,9.41474e-08
17.7228,1,3.88303,2.02703e+07,5,20,4.07424,0,-0.000372111,0.00136996,2.54323e-05,2.81597e-07
17.8228,1,3.87553,2.02703e+07,5,20,4.06635,0,3.68883e-05,0.00175286,2.56138e-05,3.21768e-06
17.9228,1,3.88269,2.02703e+07,5,20,4.07388,0,-2.01112e-05,0.00187566,2.56878e-05,4.14681e-07
18.0228,1,3.88123,2.02703e+07,5,20,4.07234,0,-0.000118111,0.00162913,2.57882e-05,9.86701e-07
18.1228,1,3.87805,2.02703e+07,5,20,4.069,0,0.000749888,0.00222266,2.59474e-05,2.23024e-06
18.2228,1,3.8829,2.02703e+07,5,20,4.0741,0,1.98889e-05,0.00232513,2.60043e-05,3.34004e-07
18.3228,1,3.88277,2.02703e+07,5,20,4.07397,0,-0.000126111,0.00150303,2.60793e-05,3.82092e-07
18.4228,1,3.8817,2.02703e+07,5,20,4.07285,0,-8.6111e-05,0.00166186,2.6181e-05,7.99737e-07
18.5228,1,3.88165,2.02703e+07,5,20,4.07279,0,-0.000107111,0.00150817,2.62795e-05,8.21704e-07
